12060,7.37064,707204,poly-s2-p12060.graphml
12080,6.68675,706388,poly-s2-p12080.graphml
120,0.051733,14188,poly-s2-p120.graphml
1210,0.548417,76456,poly-s2-p1210.graphml
12120,6.75355,710016,poly-s2-p12120.graphml
12140,6.85567,712656,poly-s2-p12140.graphml
12160,7.31116,712380,poly-s2-p12160.graphml
12180,6.9638,713736,poly-s2-p12180.graphml
1220,0.546615,77256,poly-s2-p1220.graphml
12220,7.1458,714356,poly-s2-p12220.graphml
12240,6.86759,718552,poly-s2-p12240.graphml
12260,6.79634,719204,poly-s2-p12260.graphml
12280,6.73914,719792,poly-s2-p12280.graphml
1230,0.595936,77608,poly-s2-p1230.graphml
12320,6.91867,722708,poly-s2-p12320.graphml
12340,7.40762,724856,poly-s2-p12340.graphml
12360,7.03679,725912,poly-s2-p12360.graphml
12380,6.75477,727608,poly-s2-p12380.graphml
1240,0.545501,78488,poly-s2-p1240.graphml
12420,6.82338,727744,poly-s2-p12420.graphml
12440,7.27039,729120,poly-s2-p12440.graphml
12460,6.76307,730756,poly-s2-p12460.graphml
12480,6.73815,732188,poly-s2-p12480.graphml
1250,0.557944,79008,poly-s2-p1250.graphml
12520,6.87973,732596,poly-s2-p12520.graphml
12540,6.98879,736140,poly-s2-p12540.graphml
12560,6.86024,734196,poly-s2-p12560.graphml
12580,6.81433,736256,poly-s2-p12580.graphml
1260,0.558373,79776,poly-s2-p1260.graphml
12620,6.96078,738068,poly-s2-p12620.graphml
12640,6.94051,740480,poly-s2-p12640.graphml
12660,6.83608,740752,poly-s2-p12660.graphml
12680,7.43024,741892,poly-s2-p12680.graphml
1270,0.559745,80252,poly-s2-p1270.graphml
12720,6.94884,747124,poly-s2-p12720.graphml
12740,7.15884,746256,poly-s2-p12740.graphml
12760,7.311,746048,poly-s2-p12760.graphml
12780,6.91554,750056,poly-s2-p12780.graphml
1280,0.569247,81208,poly-s2-p1280.graphml
12820,6.95024,751880,poly-s2-p12820.graphml
12840,7.90465,751884,poly-s2-p12840.graphml
12860,7.91063,754248,poly-s2-p12860.graphml
12880,7.93185,754984,poly-s2-p12880.graphml
1290,0.589793,81284,poly-s2-p1290.graphml
12920,7.3375,756472,poly-s2-p12920.graphml
12940,7.13781,756064,poly-s2-p12940.graphml
12960,7.08217,759068,poly-s2-p12960.graphml
12980,7.26466,759860,poly-s2-p12980.graphml
13020,7.49962,762232,poly-s2-p13020.graphml
13040,7.68738,763104,poly-s2-p13040.graphml
13060,7.35075,763248,poly-s2-p13060.graphml
13080,7.50497,765232,poly-s2-p13080.graphml
130,0.050227,15184,poly-s2-p130.graphml
1310,0.578133,82556,poly-s2-p1310.graphml
13120,8.13347,768144,poly-s2-p13120.graphml
13140,8.16157,770172,poly-s2-p13140.graphml
13160,7.62259,769876,poly-s2-p13160.graphml
13180,7.9321,769956,poly-s2-p13180.graphml
1320,0.643721,83224,poly-s2-p1320.graphml
13220,7.22225,774412,poly-s2-p13220.graphml
13240,7.1382,774604,poly-s2-p13240.graphml
13260,7.65825,776428,poly-s2-p13260.graphml
13280,7.20009,776680,poly-s2-p13280.graphml
1330,0.636121,84464,poly-s2-p1330.graphml
13320,7.62068,778564,poly-s2-p13320.graphml
13340,8.06869,778600,poly-s2-p13340.graphml
13360,7.71732,780272,poly-s2-p13360.graphml
13380,9.93333,782732,poly-s2-p13380.graphml
1340,0.65354,84960,poly-s2-p1340.graphml
13420,7.23818,784632,poly-s2-p13420.graphml
13440,7.53058,784068,poly-s2-p13440.graphml
13460,7.68001,786164,poly-s2-p13460.graphml
13480,7.49381,787644,poly-s2-p13480.graphml
1350,0.594039,85272,poly-s2-p1350.graphml
13520,7.29845,788632,poly-s2-p13520.graphml
13540,7.29935,789540,poly-s2-p13540.graphml
13560,7.34865,792452,poly-s2-p13560.graphml
13580,7.43857,790852,poly-s2-p13580.graphml
1360,0.626829,86856,poly-s2-p1360.graphml
13620,7.49375,795128,poly-s2-p13620.graphml
13640,7.3868,795088,poly-s2-p13640.graphml
13660,7.667,797904,poly-s2-p13660.graphml
13680,7.42905,798368,poly-s2-p13680.graphml
1370,0.603646,86952,poly-s2-p1370.graphml
13720,7.77482,800260,poly-s2-p13720.graphml
13740,7.82062,800688,poly-s2-p13740.graphml
13760,7.64181,801944,poly-s2-p13760.graphml
13780,7.46813,804364,poly-s2-p13780.graphml
